2024-12-14 23:51:50,527 INFO    Thread-328:1618010 [wandb_setup.py:_flush():76] Current SDK version is 0.17.4
2024-12-14 23:51:50,528 INFO    Thread-328:1618010 [wandb_setup.py:_flush():76] Configure stats pid to 1618010
2024-12-14 23:51:50,528 INFO    Thread-328:1618010 [wandb_setup.py:_flush():76] Loading settings from /users/mali37/.config/wandb/settings
2024-12-14 23:51:50,528 INFO    Thread-328:1618010 [wandb_setup.py:_flush():76] Loading settings from /oscar/home/mali37/bert-qa/wandb/settings
2024-12-14 23:51:50,528 INFO    Thread-328:1618010 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'project': 'nq-qa-bert5', 'entity': 'CS1460', 'root_dir': '/oscar/home/mali37/bert-qa', 'run_id': 'm8uy4aq4', 'sweep_param_path': '/oscar/home/mali37/bert-qa/wandb/sweep-xwpqxi17/config-m8uy4aq4.yaml', 'sweep_id': 'xwpqxi17'}
2024-12-14 23:51:50,528 INFO    Thread-328:1618010 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-12-14 23:51:50,528 INFO    Thread-328:1618010 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program_abspath': '/oscar/home/mali37/bert-qa/main.py', 'program': '/oscar/home/mali37/bert-qa/main.py'}
2024-12-14 23:51:50,528 INFO    Thread-328:1618010 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-12-14 23:51:50,528 INFO    Thread-328:1618010 [wandb_init.py:_log_setup():529] Logging user logs to /oscar/home/mali37/bert-qa/wandb/run-20241214_235150-m8uy4aq4/logs/debug.log
2024-12-14 23:51:50,528 INFO    Thread-328:1618010 [wandb_init.py:_log_setup():530] Logging internal logs to /oscar/home/mali37/bert-qa/wandb/run-20241214_235150-m8uy4aq4/logs/debug-internal.log
2024-12-14 23:51:50,528 INFO    Thread-328:1618010 [wandb_init.py:init():569] calling init triggers
2024-12-14 23:51:50,528 INFO    Thread-328:1618010 [wandb_init.py:init():576] wandb.init called with sweep_config: {'batch_size': 64, 'learning_rate': 3.175397719244865e-05, 'num_epochs': 2}
config: {}
2024-12-14 23:51:50,528 INFO    Thread-328:1618010 [wandb_init.py:init():619] starting backend
2024-12-14 23:51:50,528 INFO    Thread-328:1618010 [wandb_init.py:init():623] setting up manager
2024-12-14 23:51:50,536 INFO    Thread-328:1618010 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-12-14 23:51:50,536 INFO    Thread-328:1618010 [wandb_init.py:init():631] backend started and connected
2024-12-14 23:51:50,555 INFO    Thread-328:1618010 [wandb_run.py:_config_callback():1382] config_cb None None {'batch_size': 64, 'learning_rate': 3.175397719244865e-05, 'num_epochs': 2}
2024-12-14 23:51:50,556 INFO    Thread-328:1618010 [wandb_init.py:init():720] updated telemetry
2024-12-14 23:51:50,622 INFO    Thread-328:1618010 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-12-14 23:51:50,778 INFO    Thread-328:1618010 [wandb_run.py:_on_init():2402] communicating current version
2024-12-14 23:51:50,828 INFO    Thread-328:1618010 [wandb_run.py:_on_init():2411] got version response upgrade_message: "wandb version 0.19.1 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2024-12-14 23:51:50,828 INFO    Thread-328:1618010 [wandb_init.py:init():804] starting run threads in backend
2024-12-14 23:51:51,742 INFO    Thread-328:1618010 [wandb_run.py:_console_start():2380] atexit reg
2024-12-14 23:51:51,743 INFO    Thread-328:1618010 [wandb_run.py:_redirect():2235] redirect: wrap_raw
2024-12-14 23:51:51,743 INFO    Thread-328:1618010 [wandb_run.py:_redirect():2300] Wrapping output streams.
2024-12-14 23:51:51,743 INFO    Thread-328:1618010 [wandb_run.py:_redirect():2325] Redirects installed.
2024-12-14 23:51:51,743 INFO    Thread-328:1618010 [wandb_init.py:init():847] run started, returning control to user process
